site_no,site_no_norm,importance,importance_norm,lat,lon
7374000,7374000,0.000139772802654,1.0,30.44566667,-91.1915556
7364200,7364200,0.0001311434244251,0.938261392308879,32.9904049,-91.6556779
3399800,3399800,0.000102122785474,0.7306341687000972,37.15922215,-88.4272616
7364185,7364185,0.0001004035939749,0.7183342686735843,33.23555556,-91.5355556
7263012,7263012,9.776836528161345e-05,0.6994806101410531,34.95666667,-92.985
3381700,3381700,9.525607276153326e-05,0.6815064944878279,37.6925,-88.1347222
7346000,7346000,9.210495010172044e-05,0.6589618892429073,32.74958345,-94.4988102
7281600,7281600,9.009186814477893e-05,0.6445593594322733,33.65138889,-90.2111111
7077000,7077000,8.832557631554497e-05,0.6319224816155992,34.79444444,-91.4447222
