site_no,lat,lon,importance,importance_norm,n_channels,horizon
07060500,36.11666667,-92.1430556,4.827251769115056e-05,0.261166961863671,1,1
03308500,37.26944444,-85.8880556,4.807423371878572e-05,0.26009419364842873,1,1
03267000,40.1075575,-83.7990978,4.751621708671041e-05,0.25707517754073517,1,1
07339000,34.04177757,-94.6199358,4.741604248048683e-05,0.2565332066882785,1,1
03377500,38.3983333,-87.75638889,4.7042381426289426e-05,0.25451160253421545,1,1
07382000,31.00027778,-92.3802778,4.607105511839824e-05,0.24925647284669342,1,1
03212750,37.44122439,-81.5998295,4.591548606933638e-05,0.2484148035523041,1,1
07341200,33.9622222,-94.0616667,4.5733384399303855e-05,0.24742958583034935,1,1
03375500,38.41366486,-86.8766583,4.557885570446859e-05,0.24659354512476414,1,1
06775500,41.83091667,-100.0995278,4.556659519715791e-05,0.2465272125695466,1,1
05454500,41.6566833,-91.541,4.545159328627231e-05,0.24590502211603285,1,1
07169500,37.50796389,-95.8334222,4.511798270401582e-05,0.24410010150321237,1,1
05508000,39.6125,-91.4073611,4.502289974447363e-05,0.24358567779265478,1,1
03251500,38.60007244,-84.2663239,4.467922089010635e-05,0.24172628519113015,1,1
05428500,43.08944444,-89.3608333,4.454866386256067e-05,0.2410199374830572,1,1
05453520,41.71529444,-91.5301667,4.424757405976623e-05,0.2393909628033634,1,1
07156900,37.0111372,-100.4918171,4.39022484685436e-05,0.23752266092421934,1,1
03203600,37.84232616,-81.9759574,4.385384814274651e-05,0.23726080248703335,1,1
07288280,33.8325,-90.67,4.374645415492676e-05,0.2366797728895974,1,1
06409000,44.01359238,-103.8304784,4.350193853834955e-05,0.23535687937245653,1,1
03584600,35.0142361,-86.9946574,4.267977760599472e-05,0.23090877342861682,1,1
06430770,44.29921736,-103.8681641,4.2484445782540197e-05,0.22985197711206048,1,1
07245000,35.26231927,-95.2371891,4.204612539623593e-05,0.22748054903891937,1,1
410121081330300,41.02255558,-81.55067419,4.204202514103883e-05,0.22745836558456664,1,1
07216500,35.8908722,-105.1636194,4.183243916658437e-05,0.22632445057835715,1,1
05517530,41.25390845,-87.0338854,4.171554693945936e-05,0.2256920330189699,1,1
07292500,31.3247222,-91.1094444,4.116531462702304e-05,0.2227151321190079,1,1
07362000,33.59638889,-92.8180556,4.099312417452954e-05,0.22178353667939604,1,1
07285500,33.78777778,-89.8097222,4.042503536009892e-05,0.21871002742755155,1,1
06835500,40.2347215,-100.8782139,4.029402876285412e-05,0.21800124742967722,1,1
07174400,36.75564425,-95.9722064,4.028826380705834e-05,0.21797005750914947,1,1
06906200,39.75144444,-92.5189444,4.024555287892348e-05,0.21773898020320226,1,1
07312100,33.7600934,-99.1428495,4.0135239551227454e-05,0.21714215621254632,1,1
06828500,40.14055556,-101.2297222,4.00692091948074e-05,0.21678491469290287,1,1
07194500,35.7695432,-95.2971867,4.0032629202568884e-05,0.21658700735566694,1,1
05517500,41.22001988,-86.96832769,3.996720448669888e-05,0.21623304250999875,1,1
07029500,35.275356,-88.976626,3.9168134650956436e-05,0.21190986544571205,1,1
03234300,39.3203421,-82.9782349,3.8947585402580704e-05,0.21071663625662906,1,1
03247500,39.13700548,-84.2379918,3.8871639850944677e-05,0.21030575093436882,1,1
05455700,41.42377778,-91.4785278,3.875142537942685e-05,0.20965535916281816,1,1
03376500,38.39033185,-87.548902,3.870032157420122e-05,0.2093788741939619,1,1
06919900,37.8698333,-93.8031667,3.8242580605224676e-05,0.20690237568288358,1,1
05429500,43.00888889,-89.305,3.8163139152198757e-05,0.2064725766186301,1,1
07074500,35.60527778,-91.2888889,3.77555047194042e-05,0.20426716758972643,1,1
07291000,31.50305556,-90.7775,3.739890204788684e-05,0.20233785375305186,1,1
07138070,37.9697438,-101.1287719,3.680766612953349e-05,0.1991391126074387,1,1
06834000,40.35166667,-101.1236111,3.677153237113849e-05,0.1989436195121517,1,1
06852500,40.0041807,-98.1322678,3.642690359415851e-05,0.19707908758053558,1,1
05425912,43.44444444,-88.845,3.618929417353411e-05,0.1957935583920293,1,1
05401050,44.2625,-89.8102778,3.600191227861592e-05,0.19477977327070728,1,1
03281000,37.55508768,-83.5937993,3.576760335429562e-05,0.1935121006315092,1,1
07331600,33.81899124,-96.5633264,3.553705333855753e-05,0.1922647646720886,1,1
05568500,40.55343889,-89.7772722,3.513439743218253e-05,0.19008629077484457,1,1
07249413,35.16565268,-94.6530016,3.496806043108307e-05,0.18918636404012149,1,1
07137000,38.0383503,-102.039078,3.49569899484986e-05,0.18912646983030526,1,1
410014081362600,41.0039441,-81.6070666,3.4898881955794736e-05,0.18881209037300078,1,1
03466208,36.20592158,-82.65041619,3.449873180002145e-05,0.18664717324269453,1,1
06775900,41.7786111,-100.5252778,3.445123517473907e-05,0.18639020406194576,1,1
05076000,48.186179,-96.169948,3.4271070068967675e-05,0.18541546365977302,1,1
07364133,33.86638889,-91.6561111,3.425360236812938e-05,0.18532095882396005,1,1
03294500,38.28034736,-85.7991305,3.409596546965502e-05,0.18446810192274007,1,1
03342000,39.0203229,-87.568625,3.408949803496063e-05,0.18443311140741223,1,1
03270000,39.79728106,-84.088548,3.3886245598077175e-05,0.18333346249802937,1,1
03303280,37.89950088,-86.70554179,3.369819345709743e-05,0.1823160511699966,1,1
07369680,33.10027778,-91.2544444,3.366016657729081e-05,0.1821103157921199,1,1
03269500,39.91888889,-83.87611111,3.3207504768866925e-05,0.17966129686971438,1,1
06836500,40.14583655,-100.6732083,3.3177807117295095e-05,0.1795006247977681,1,1
05345000,44.66663318,-93.0549358,3.309753035637234e-05,0.17906630649905017,1,1
05474500,40.39365535,-91.374318,3.254623214755617e-05,0.17608363882054628,1,1
07130500,38.06639635,-102.9324228,3.245446933097643e-05,0.17558717795286344,1,1
03475000,36.7131694,-81.8187334,3.236865620153983e-05,0.17512290645067327,1,1
07340000,33.91944444,-94.3866667,3.229652935214975e-05,0.17473268130756955,1,1
07069000,36.25416667,-90.9702778,3.208579697987522e-05,0.17359256398894557,1,1
05489500,41.0108472,-92.4112917,3.1981202318210644e-05,0.17302667947907044,1,1
07074420,35.76555556,-91.3002778,3.184321712595477e-05,0.17228014345469714,1,1
03106300,40.9633333,-80.12888889,3.180267725163022e-05,0.17206081211839896,1,1
03373500,38.6669945,-86.7919333,3.1644185832698646e-05,0.17120333203773166,1,1
07175500,36.5089816,-95.8419306,3.115679967968928e-05,0.1685664453178328,1,1
03245500,39.17144887,-84.2979933,3.099786600689438e-05,0.16770657252795157,1,1
